Adipocytes	CL_0000136
aNSCs	CL:0000047
Astrocytes	CL:0000127
Astrocytes activated	CL:0000127
Endothelial cells	CL:0000115
Erythrocytes	CL:0000232
Fibroblasts	CL:0000057
Fibroblasts activated	CL:0000057
Fibroblasts senescent	CL:0000057
Granulocytes	CL:0000094
Macrophages	CL:0000235
Microglia	CL:0000129
Microglia activated	CL:0000129
Monocytes	CL:0000576
Neurons	CL:0000540
Neurons activated	CL:0000540
NK cells	CL:0000623
NPCs	CL:0002319
Oligodendrocytes	CL:0000128
qNSCs	CL:0000047
T cells	CL:0000084
Dendritic cells	CL:0000451
Cardiomyocytes	CL:0000746
Hepatocytes	CL:0000182
B cells	CL:0000236
Ependymal	CL:0000065
OPCs	CL:0002453
Macrophages activated	CL:0000890
